id;id_station;nom;desserte;gid;last_update;last_update_fme;lon;lat
79444287882;50211;Cordeliers;42744,46050;995;2024-06-24 02:31:18;2025-09-01 06:00:11;4,836342687775433;45,763424882814874
79441187905;50212;Cordeliers;42744,46050;996;2024-06-24 02:31:18;2025-09-01 06:00:11;4,835952613702868;45,76364257445687
79439888271;50461;Hôtel de Ville L. Pradel;46052,30156,42743;997;2024-06-24 02:31:18;2025-09-01 06:00:11;4,835935577425913;45,766939095496916
79439788315;50462;Hôtel de Ville L. Pradel;46052,30156,42743;998;2024-06-24 02:31:18;2025-09-01 06:00:11;4,83594232832493;45,76733112669544
79438288396;50463;Hôtel de Ville L. Pradel;46052,30156,42743;999;2024-06-24 02:31:18;2025-09-01 06:00:11;4,835782512094804;45,76806549001244
79441088271;50464;Hôtel de Ville L. Pradel;42743,30156,46052;1000;2024-06-24 02:31:18;2025-09-01 06:00:11;4,836096257932617;45,76693434847479
79441688353;50465;Hôtel de Ville L. Pradel;42743,30156,46052;1001;2024-06-24 02:31:18;2025-09-01 06:00:11;4,836199427658897;45,767673569130906
79502688499;51821;Foch;46053;1002;2024-06-24 02:31:18;2025-09-01 06:00:11;4,844092779772338;45,7688091349081
79506988507;51822;Foch;46053;1003;2024-06-24 02:31:18;2025-09-01 06:00:11;4,844654352521537;45,768868872180725
79502988480;51823;Foch;42742;1004;2024-06-24 02:31:18;2025-09-01 06:00:11;4,8441295414715135;45,76863369044237
79507388486;51824;Foch;42742;1005;2024-06-24 02:31:18;2025-09-01 06:00:11;4,844691197311679;45,7686811839876
79570888610;50811;Masséna;46054;1006;2024-06-24 02:31:18;2025-09-01 06:00:11;4,8529090017663705;45,76961383224849
79575688618;50812;Masséna;46054;1007;2024-06-24 02:31:18;2025-09-01 06:00:11;4,853527125517346;45,76966658741038
79571188594;50813;Masséna;42741;1008;2024-06-24 02:31:18;2025-09-01 06:00:11;4,852935927091166;45,769468578879
79575988603;50814;Masséna;42741;1009;2024-06-24 02:31:18;2025-09-01 06:00:11;4,853554419540872;45,76952942671319
79658188766;51021;Charpennes;46055,42740,30472;1010;2024-06-24 02:31:18;2025-09-01 06:00:11;4,864194702550408;45,77076283779082
79659788737;51022;Charpennes;42740,46055,30472;1011;2024-06-24 02:31:18;2025-09-01 06:00:11;4,864388213927409;45,77049825451265
79728488786;51831;République Villeurbanne;46056;1012;2024-06-24 02:31:18;2025-09-01 06:00:11;4,873227913236662;45,77074104870781
79733088776;51832;République Villeurbanne;46056;1013;2024-06-24 02:31:18;2025-09-01 06:00:11;4,873818330563868;45,7706329252058
79371289603;50455;Hénon;30158;1074;2024-06-24 02:31:18;2025-09-01 06:00:11;4,827659314951049;45,779113015780545
79406090274;50221;Cuire;30159;1075;2024-06-24 02:31:18;2025-09-01 06:00:11;4,832406554919373;45,78504578065807
79409590319;50222;Cuire;30159;1076;2024-06-24 02:31:18;2025-09-01 06:00:11;4,832879753007834;45,78543719458757
79407990294;50223;Cuire;30159;1077;2024-06-24 02:31:18;2025-09-01 06:00:11;4,832667755742331;45,78522526552736
79866681647;51041;Gare de Vénissieux;30447,30448;1078;2024-06-24 02:31:18;2025-09-01 06:00:11;4,8880065892793345;45,706138380224374
79866481549;51042;Gare de Vénissieux;30447,30448;1079;2024-06-24 02:31:18;2025-09-01 06:00:11;4,887940498544739;45,705266489372775
79868381601;51043;Gare de Vénissieux;30447,30448;1080;2024-06-24 02:31:18;2025-09-01 06:00:11;4,88821113146557;45,70571993833471
79727585970;50832;Monplaisir Lumière;30191;1099;2024-06-24 02:31:18;2025-09-01 06:00:11;4,871944779776416;45,745415095646365
79720585980;50833;Monplaisir Lumière;30192;1100;2024-06-24 02:31:18;2025-09-01 06:00:11;4,871053559753363;45,745532257736066
79723885956;50834;Monplaisir Lumière;30192;1101;2024-06-24 02:31:18;2025-09-01 06:00:11;4,871463637773313;45,74530237568253
79725585950;50835;Monplaisir Lumière;30192;1102;2024-06-24 02:31:18;2025-09-01 06:00:11;4,871681665331599;45,745246144065774
79578986646;51811;Garibaldi;30445,30446;1107;2024-06-24 02:31:18;2025-09-01 06:00:11;4,853133705854014;45,75192461569728
79581486655;51812;Garibaldi;30445,30446;1108;2024-06-24 02:31:18;2025-09-01 06:00:11;4,85346060990657;45,75200450821354
79587686600;51813;Garibaldi;30445,30446;1109;2024-06-24 02:31:18;2025-09-01 06:00:11;4,854240212027745;45,75148790746971
79577986626;51814;Garibaldi;30445,30446;1110;2024-06-24 02:31:18;2025-09-01 06:00:11;4,85300222668843;45,751754379762936
79530986871;50922;Saxe - Gambetta;30133,46040,30197,30198;1114;2024-06-24 02:31:18;2025-09-01 06:00:11;4,847063569875566;45,754091388641335
79538586824;50923;Saxe - Gambetta;30133,46040,30197,30198;1115;2024-06-24 02:31:18;2025-09-01 06:00:11;4,848022862514368;45,753647414263625
79535686818;50924;Saxe - Gambetta;30133,46040,30197,30198;1116;2024-06-24 02:31:18;2025-09-01 06:00:11;4,847652765369006;45,75360159650604
79429587087;50021;Bellecour;46051,30103,30201,30202;1121;2024-06-24 02:31:18;2025-09-01 06:00:11;4,8341307428227855;45,75631899270214
79425687097;50022;Bellecour;46051,30103,30201,30202;1122;2024-06-24 02:31:18;2025-09-01 06:00:11;4,8336333979261275;45,756424658679954
79426687067;50023;Bellecour;46051,30103,30201,30202;1123;2024-06-24 02:31:18;2025-09-01 06:00:11;4,8337432116284145;45,756152631230876
79426987177;50024;Bellecour;46051,30103,30201,30202;1124;2024-06-24 02:31:18;2025-09-01 06:00:11;4,833836263151904;45,75713753865178
79203388178;50401;Gorge de Loup;30205,30206;1129;2024-06-24 02:31:18;2025-09-01 06:00:11;4,8055169354871;45,766771567538875
79204488113;50402;Gorge de Loup;30205,30206;1130;2024-06-24 02:31:18;2025-09-01 06:00:11;4,805627215641817;45,76619118328652
79200188169;50403;Gorge de Loup;30205,30206;1131;2024-06-24 02:31:18;2025-09-01 06:00:11;4,8050969671670005;45,76669880161866
79199988088;50404;Gorge de Loup;30205,30206;1132;2024-06-24 02:31:18;2025-09-01 06:00:11;4,805036701246433;45,76597481983444
79199088966;50943;Valmy;30207,30208;1136;2024-06-24 02:31:18;2025-09-01 06:00:11;4,805278519017889;45,77387128260109
79188489620;51031;Gare de Vaise;30209,30210;1137;2024-06-24 02:31:18;2025-09-01 06:00:11;4,804172937981866;45,7797860732531
79195089693;51032;Gare de Vaise;30209,30210;1138;2024-06-24 02:31:18;2025-09-01 06:00:11;4,805052555307158;45,78042148215994
79529587457;50432;Place Guichard;46027;1043;2024-06-24 02:31:18;2025-09-01 06:00:11;4,847129806212806;45,759364434385816
79534287465;50433;Place Guichard;46026;1044;2024-06-24 02:31:18;2025-09-01 06:00:11;4,847739330333937;45,75941741112418
79533687425;50434;Place Guichard;46026;1045;2024-06-24 02:31:18;2025-09-01 06:00:11;4,847635683163847;45,759065261753726
79530786832;50921;Saxe - Gambetta;30133,46040,30197,30198;1046;2024-06-24 02:31:18;2025-09-01 06:00:11;4,847019614241803;45,75373673413629
79526586719;50922;Saxe - Gambetta;30133,46040,30197,30198;1047;2024-06-24 02:31:18;2025-09-01 06:00:11;4,846435536195241;45,752734909512014
79529086836;50923;Saxe - Gambetta;30133,46040,30197,30198;1048;2024-06-24 02:31:18;2025-09-01 06:00:11;4,846803080982573;45,75377623105608
79524786720;50924;Saxe - Gambetta;30133,46040,30197,30198;1049;2024-06-24 02:31:18;2025-09-01 06:00:11;4,84620732386546;45,75275225349719
79501186044;51601;Jean Macé;46028;1050;2024-06-24 02:31:18;2025-09-01 06:00:11;4,842900885189143;45,74674015621347
79499485938;51602;Jean Macé;46028;1051;2024-06-24 02:31:18;2025-09-01 06:00:11;4,842638394558017;45,7457925224281
79499586050;51603;Jean Macé;46029;1052;2024-06-24 02:31:18;2025-09-01 06:00:11;4,842698894717183;45,746793542816945
79493785960;51604;Jean Macé;46029;1053;2024-06-24 02:31:18;2025-09-01 06:00:11;4,841919657860573;45,74600020288127
79463885063;52211;Place Jean Jaurès;46030;1054;2024-06-24 02:31:18;2025-09-01 06:00:11;4,837711803678958;45,738019381158146
79460184969;52212;Place Jean Jaurès;46030;1055;2024-06-24 02:31:18;2025-09-01 06:00:11;4,837200330996357;45,7371850310892
79462385068;52213;Place Jean Jaurès;31663;1056;2024-06-24 02:31:18;2025-09-01 06:00:11;4,837517643275708;45,73807474470251
