gid;ligne;code_trace;code_ligne;type_trace;nom_trace;sens;origine;destination;nom_origine;nom_destination;famille_transport;couleur;couleur_hex;date_debut;date_fin;code_type_ligne;nom_type_ligne;pmr;code_tri_ligne;nom_version;last_update;last_update_fme
1336;JD559;559202 SAINTE FOY L'ARGENTIERE - COLLEGE VAL D'ARGENT > SAINT GENIS L'ARGENTIERE - LE BOURG;4182;;559202 SAINTE FOY L'ARGENTIERE - COLLEGE VAL D'ARGENT > SAINT GENIS L'ARGENTIERE - LE BOURG;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.242660+02:00
1375;JD581;581101 LOZANNE - LES PEUPLIERS > SAIN BEL -  LYCEE GERMAIN TILLION;4201;;581101 LOZANNE - LES PEUPLIERS > SAIN BEL -  LYCEE GERMAIN TILLION;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243074+02:00
1366;JD577;577101 BULLY LA SALETTE > SAIN BEL LYCEE (Sept 2020);4197;;577101 BULLY LA SALETTE > SAIN BEL LYCEE (Sept 2020);;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.242979+02:00
1367;JD577;577203 SAIN BEL LYCEE >> BULLY;4197;;577203 SAIN BEL LYCEE >> BULLY;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.242989+02:00
1368;JD578;578101 CHEVINAY LE BURDEL > SAIN BEL LYCEE;4198;;578101 CHEVINAY LE BURDEL > SAIN BEL LYCEE;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243000+02:00
1369;JD578;578201 SAIN BEL LYCEE > CHEVINAY LE BURDEL;4198;;578201 SAIN BEL LYCEE > CHEVINAY LE BURDEL;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243011+02:00
1376;JD581;581201 SAIN BEL - LYCEE GERMAINE TILLION > FLEURIEUX SUR L'ARBRESLE - LE LEVY;4201;;581201 SAIN BEL - LYCEE GERMAINE TILLION > FLEURIEUX SUR L'ARBRESLE - LE LEVY;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243085+02:00
1377;JD582;582101 CHATILLON D'AZERGUES > SAIN BEL LYCEE;4202;;582101 CHATILLON D'AZERGUES > SAIN BEL LYCEE;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243096+02:00
1378;JD582;582201 SAIN BEL LYCEE > CHATILLON D'AZERGUES;4202;;582201 SAIN BEL LYCEE > CHATILLON D'AZERGUES;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243106+02:00
1383;JD587;58701 SAINT DENIS SUR COISE BROAILLY > SAINT DENIS SUR COISE ECOLE;4205;;58701 SAINT DENIS SUR COISE BROAILLY > SAINT DENIS SUR COISE ECOLE;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243160+02:00
1385;JD588;58801 CHEVRIERES LES CROISETTES > CHEVRIERES ECOLES;4206;;58801 CHEVRIERES LES CROISETTES > CHEVRIERES ECOLES;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243181+02:00
1386;JD588;58802 CHEVRIERES ECOLES > CHEVRIERES LES CROISETTES;4206;;58802 CHEVRIERES ECOLES > CHEVRIERES LES CROISETTES;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243192+02:00
1370;JD579;579101 LENTILLY - GARE > SAIN BEL - LYCEE GERMAINE TILLION;4199;;579101 LENTILLY - GARE > SAIN BEL - LYCEE GERMAINE TILLION;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243021+02:00
1371;JD579;579101 LENTILLY > SAIN BEL - LYCEE GERMAINE TILLION;4199;;579101 LENTILLY > SAIN BEL - LYCEE GERMAINE TILLION;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243032+02:00
1387;JD589;58901 GRAMMOND LE MAS > GRAMMOND BOURG MAIRIE;4207;;58901 GRAMMOND LE MAS > GRAMMOND BOURG MAIRIE;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243202+02:00
1388;JD589;58902 GRAMMOND BOURG MAIRIE > GRAMMOND LA PELISSIERE;4207;;58902 GRAMMOND BOURG MAIRIE > GRAMMOND LA PELISSIERE;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243213+02:00
1382;JD586;58602  VIRIGNEUX ECOLE > VIRIGNEUX ESTAING HAMEAU;4204;;58602  VIRIGNEUX ECOLE > VIRIGNEUX ESTAING HAMEAU;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243149+02:00
1384;JD587;58702 SAINT DENIS SUR COISE ECOLE > 1 SAINT DENIS SUR COISE LES RAVIERES;4205;;58702 SAINT DENIS SUR COISE ECOLE > 1 SAINT DENIS SUR COISE LES RAVIERES;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243170+02:00
1390;JD590;590102 SAINT-GENIS-L'ARGENTIERE LE BOURG > SAINTE-FOY-L'ARGENTIERE GARE SNCF;4208;;590102 SAINT-GENIS-L'ARGENTIERE LE BOURG > SAINTE-FOY-L'ARGENTIERE GARE SNCF;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243234+02:00
1405;JD630;630202 LENTILLY >> SOURCIEUX LES MINES DIRECT (Me);4218;;630202 LENTILLY >> SOURCIEUX LES MINES DIRECT (Me);;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243395+02:00
1415;JD637;637201 L'ARBRESLE COLLEGE > SOURCIEUX LE SONNAY;4222;;637201 L'ARBRESLE COLLEGE > SOURCIEUX LE SONNAY;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243501+02:00
1416;JD638;638101 ANSE ROUTE DE VILLEFRANCHE > L'ARBRESLE COLLEGE;4223;;638101 ANSE ROUTE DE VILLEFRANCHE > L'ARBRESLE COLLEGE;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243512+02:00
1417;JD638;638201 L'ARBRESLE COLLEGE > ROUTE DE VILLEFRANCHE;4223;;638201 L'ARBRESLE COLLEGE > ROUTE DE VILLEFRANCHE;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243523+02:00
1394;JD592;592101 SAINT-CLEMENT-LES-PLACES CENTRE ALPHA > SAINT-LAURENT-DE-CHAMOUSSET GIRATOIRE CROIX-BLANCHE;4210;;592101 SAINT-CLEMENT-LES-PLACES CENTRE ALPHA > SAINT-LAURENT-DE-CHAMOUSSET GIRATOIRE CROIX-BLANCHE;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243277+02:00
1424;JD642;642101 FLEURIEUX SUR L'ARBRESLE - LE POTEAU > L'ARBRESLE - COLLEGE 4 VENTS;4227;;642101 FLEURIEUX SUR L'ARBRESLE - LE POTEAU > L'ARBRESLE - COLLEGE 4 VENTS;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243597+02:00
1395;JD593;593101 BESSENAY JUSSIEU-LES RIVIERES > BESSENAY LE BROUG;4211;;593101 BESSENAY JUSSIEU-LES RIVIERES > BESSENAY LE BROUG;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243288+02:00
1397;JD595;GREZIEU > SAINT-GALMIER;4213;;GREZIEU > SAINT-GALMIER;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243309+02:00
1398;JD595;595102 SAINT-GALMIER COLLEGE JULES ROMAINS > GREZIEU-LE-MARCHE LE BOURG;4213;;595102 SAINT-GALMIER COLLEGE JULES ROMAINS > GREZIEU-LE-MARCHE LE BOURG;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243320+02:00
1391;JD590;590103  SAINTE-FOY-L'ARGENTIERE GARE SNCF > MONTROMANT MONTROCIER;4208;;590103  SAINTE-FOY-L'ARGENTIERE GARE SNCF > MONTROMANT MONTROCIER;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243245+02:00
1393;JD591;591201 MONTROTTIER - CROIX MATILLON > MONTROTTIER - MONTALY;4209;;591201 MONTROTTIER - CROIX MATILLON > MONTROTTIER - MONTALY;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243266+02:00
1401;JD626;DOMMARTIN > LENTILLY;4216;;DOMMARTIN > LENTILLY;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243352+02:00
1404;JD630;630102 ST PIERRE LA PEROLIERE > LENTILLY CGE J. COEUR;4218;;630102 ST PIERRE LA PEROLIERE > LENTILLY CGE J. COEUR;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243384+02:00
1435;JD646;646201 L'ARBRESLE COLLEGE > BESSENAY BOURG (Via Gare SNCF);4231;;646201 L'ARBRESLE COLLEGE > BESSENAY BOURG (Via Gare SNCF);;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243715+02:00
1406;JD630;630203 LENTILLY CGE J. COEUR > ST PIERRE LA P LA PEROLIERE;4218;;630203 LENTILLY CGE J. COEUR > ST PIERRE LA P LA PEROLIERE;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243405+02:00
